"","ds","tv_spend","digital_spend","social_spend","search_spend","radio_spend","nps_score","type","solID","cluster","top_sol"
"15171",2023-09-24,129.697128501497,3.64451189530297,11.3976289726274,19.8785732230948,92.6776201731079,417.610791824092,"decompMedia","1_38_3",3,FALSE
"15172",2023-10-01,127.898459698819,6.15362414585039,19.50187106938,25.8725847468184,69.7295411746844,395.793148442611,"decompMedia","1_38_3",3,FALSE
"15173",2023-10-08,107.562926394678,4.9779972023874,8.93866962283812,88.6274437150788,76.038638493087,412.197965830143,"decompMedia","1_38_3",3,FALSE
"15174",2023-10-15,112.835513324964,5.48752995180442,11.7618744099328,22.1377397652508,68.6085845025083,509.073721288359,"decompMedia","1_38_3",3,FALSE
"15175",2023-10-22,117.441100627067,4.12886096169799,58.0006323644749,66.7898845936048,54.8727036355287,426.042563176476,"decompMedia","1_38_3",3,FALSE
"15176",2023-10-29,99.2035086827644,4.99559913440942,40.0827217484705,12.7867227429487,80.4025072320535,374.076079717129,"decompMedia","1_38_3",3,FALSE
"15177",2023-11-05,151.938025716062,4.03736267968251,64.7436483724499,118.959410822597,65.1033553390588,423.565172532808,"decompMedia","1_38_3",3,FALSE
"15178",2023-11-12,146.009051993326,3.78963564680277,20.0138838617175,49.3958897550962,36.4170500241205,234.382679717526,"decompMedia","1_38_3",3,FALSE
"15179",2023-11-19,117.738084695547,4.89260284850271,51.3460935847525,63.6898976024442,30.2238331245116,367.309630929593,"decompMedia","1_38_3",3,FALSE
"15180",2023-11-26,132.183420411843,2.77796198590398,6.49522636539155,55.6394646032623,32.8243469582815,371.940716230856,"decompMedia","1_38_3",3,FALSE
"15181",2023-12-03,144.01352673437,2.0998062905617,26.2636981178695,55.1936005310074,18.8756301477713,333.493872783235,"decompMedia","1_38_3",3,FALSE
"15182",2023-12-10,139.542636001341,2.86336813739668,56.1309718724531,61.2134059166631,23.0002344298895,413.011536911724,"decompMedia","1_38_3",3,FALSE
"15183",2023-12-17,124.010299637891,3.89709544362893,6.81161117459623,14.6147403757097,22.0053863510909,409.240872193785,"decompMedia","1_38_3",3,FALSE
"15184",2023-12-24,103.361232030743,5.99813350250649,10.0273506681668,46.710935624439,36.6705190436848,288.165344496508,"decompMedia","1_38_3",3,FALSE
"15185",2022-01-02,17814.09,7628.19,2937.19,2592.92,979.01,27.1,"adstockedMedia","1_41_1",3,FALSE
"15186",2022-01-09,24340.7708220869,11955.2243495919,4161.87316686655,5484.65873718971,1150.41938218423,51.069974320511,"adstockedMedia","1_41_1",3,FALSE
"15187",2022-01-16,28051.126848659,11456.7062929236,3883.60505327213,2568.61521852507,1069.96136920518,38.4200190928771,"adstockedMedia","1_41_1",3,FALSE
"15188",2022-01-23,30572.4601512013,20693.9092193127,5396.36246976912,4153.97490666512,1910.42119108918,41.7270282760447,"adstockedMedia","1_41_1",3,FALSE
"15189",2022-01-30,51604.9040582192,17346.0938497594,3230.80194108969,7237.86355100574,1323.8426685393,51.6650478522464,"adstockedMedia","1_41_1",3,FALSE
"15190",2022-02-06,55698.1592442302,9415.40963524002,4024.02254972497,5148.38192412456,3311.07055134476,61.9808433881436,"adstockedMedia","1_41_1",3,FALSE
"15191",2022-02-13,47702.9952482157,6489.01885404559,5682.14658945521,3091.67919571314,3361.81168841913,67.8352525663753,"adstockedMedia","1_41_1",3,FALSE
"15192",2022-02-20,50686.5744633103,12445.5929503821,5640.94641970304,3869.06803860399,3096.87251804,30.5336497282005,"adstockedMedia","1_41_1",3,FALSE
"15193",2022-02-27,49850.0177547071,10486.4405893869,5048.54711897785,2228.2323842678,4085.2076107221,48.3209382161842,"adstockedMedia","1_41_1",3,FALSE
"15194",2022-03-06,36891.7215228747,15008.4423881504,4902.91461508539,3088.94956508114,2076.23175390623,64.439031660584,"adstockedMedia","1_41_1",3,FALSE
"15195",2022-03-13,31723.6770933793,14808.8751741451,6254.03494853882,2789.2466052753,1265.93797269374,28.3865115475428,"adstockedMedia","1_41_1",3,FALSE
