"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","digital_spend_thetas","nps_score_thetas","radio_spend_thetas","search_spend_thetas","social_spend_thetas","tv_spend_thetas","digital_spend_alphas","nps_score_alphas","radio_spend_alphas","search_spend_alphas","social_spend_alphas","tv_spend_alphas","digital_spend_gammas","nps_score_gammas","radio_spend_gammas","search_spend_gammas","social_spend_gammas","tv_spend_gammas","cluster","n","top_sol"
"44","1_49_4",0,0.252756938523752,0.26000650675615,0.267254179021006,0.216175522112261,0.26000650675615,0.502494084150435,0.40366499022715,0.626588531136158,0.745411069702382,0.655910261034126,0.811764133717797,0.0440872467171869,0.639855800450472,0.869925478408272,0.428677049167491,0.799048417495204,0.41266923852985,0.206115403218596,0.255638298525307,0.47861597906902,0.243508441135695,0.469123711519222,0.433883474207025,3,18,FALSE
"45","1_50_2",0,0.46919725626599,0.171338631535053,0.193049861502136,0.089507015037016,0.171338631535053,1,0.224486671466453,0.610687589036649,0.515495454470441,0.0318206059225712,0,0.512892984138076,0.589358485986142,0.903052542190387,0.031552893143157,0.858209960925166,0.841722044258138,0.32692309164291,0.787161702077638,0.780440642737261,0.948646491592653,0,1,6,32,FALSE
"46","1_50_4",0,0.26325136555429,0.227300147780513,0.254937746344247,0.205371238050002,0.227300147780513,0.711399469823575,0.591313448414425,0.214298977737354,0.227664698771259,0.73804578658813,0.633110123919057,0.852155115760842,0.523926798776317,0.963366712729713,0.453929277098347,0.914607860821136,0.322793160818329,0.285792006724189,0.503200719817579,0.880201364567816,0.714815263494358,0.864462454559724,0.41802597794623,2,22,FALSE
"47","1_51_1",0,0.467789625273291,0.176653976197125,0.193059591674488,0.090592736741891,0.176653976197125,0.790003631332148,0.406927248365299,0.404236072403119,0.482270712800817,0.44915041123931,0.14391158809647,0.244725297855787,0.656647227367685,0.896732438702458,0.632324069504385,0.9035811111041,0.638961526958478,0.167336174104453,0.564602460065136,0.825595480221638,0.657255533201058,0.524621812905315,0.90829561218302,6,32,FALSE
"48","1_52_1",0,0.252662179958886,0.248156830104447,0.256682713684769,0.213442558773092,0.248156830104447,0.758632898827715,0.740422050255785,0.141601936340245,0.372575899470188,0.663001000056559,1,1,0.441906545405318,0.985020141328446,0.506141778703006,0.83549998606688,0.684864488704094,0.271131270383821,0.388644941304405,0.986474442744231,0.444053200180941,0.514293287955993,0.658769589289818,2,22,FALSE
"49","1_52_4",0,0.473876224105041,0.179069725513201,0.196195204224109,0.0912286915704077,0.179069725513201,0.565050263760895,0.461294697915225,0.568701047274585,0.620572803312044,0.514075120209068,0.0681901645771478,0,0.613383979714707,0.862613346756241,0.504062589574504,0.876680029213907,0.717804991359003,0.249638506741644,0.60178217529679,0.525829931348035,0.57606516526344,0.417727275757176,0.933056130288904,6,32,FALSE
"50","1_53_3",0,0.458427930856116,0.236352784081593,0.263313172979655,0.21528185422426,0.236352784081593,0.478122246816352,0.677814790460742,0.423738111199786,0.60331288248845,0.0451459280179873,0.762049532744456,0.167167908896643,0.429865672445476,0.907632872801533,0.35807440021419,0.870322791273408,0.94971784609818,0.272130132404658,0.428054028360685,0.81514382978884,0.508110372692096,0.536964562382523,0.836967047789995,6,32,FALSE
"51","1_53_4",0,0.656718745464411,0.173697734902407,0.192805195164945,0.0922033640985956,0.173697734902407,0.621416112456569,0.51678679396828,0.344892769105873,0.437962997565665,0.315202346698476,0.034514253389835,0.468389362674354,0.34750534813843,0.92432308037414,0.383386394841714,0.853086514576503,0.844879875861934,0.417433182001568,0.166850651988696,0.794980572137539,0.359552049745502,0.982327839017944,0.802342082184246,6,32,FALSE
"52","1_54_1",0,0.25295063561091,0.232848601125972,0.244263066994134,0.190999381584229,0.232848601125972,0.559933436197171,0.426858298650193,0.159513175151276,0.367406786994346,0.97585316486346,0.666423770122636,0.862244572854493,0.293759997736487,0.878212605018005,0.57349755446274,0.87281603170862,0.245614817437114,0.684175240552758,0.648386404229686,0.504020945593173,0.414799049565384,1,0.311356685512061,1,6,TRUE
"53","1_54_3",0,0.475923411259743,0.212298423361827,0.242477661943392,0.189776245454513,0.212298423361827,0.644050779825826,0.264050629392243,0.654373780914378,1,0.479345873393577,0.208854708161486,0.708163674428358,0.605837989999312,0.754065282142865,0.290155054887583,0.781093162823761,0.724050538872448,0.275312747897541,0.242385174253148,0.689582125371159,0.231014653777305,0.469864994801008,0.93249611193549,6,32,FALSE
"54","1_55_1",0,0.234370374655363,0.24272037089652,0.252064873661832,0.207818382966684,0.24272037089652,0.526163749523842,0.451581574602439,0.414613510257306,0.0560465959176105,0.942537310521148,0.674570293454262,0.774762522699937,0.523935128450194,0.814763333290439,0.392386096812755,0.92124644320701,0.250022708821847,0.129094151114641,0.584979985218395,0.74431689877725,0.363342193642797,0.903327915560819,0.364161844003147,2,22,FALSE
"55","1_55_2",0,0.531789193592934,0.227326646702239,0.25612553941065,0.205560097531817,0.227326646702239,0.910219342509901,0.6063064590402,0.457502199757333,0.452867430855308,0.163919169375149,0.572481947634991,0.827289265524331,0.489074606443143,0.854774407613972,0.404428309925568,0.301928950234697,0.96874046332128,0.414390912212587,0.502036033526624,0.693344403825452,0.671971366116228,0.0302796613874218,0.502362173725535,6,32,FALSE
"56","1_55_3",0,0.240418628252236,0.256878815013482,0.266291605644512,0.217042785897212,0.256878815013482,0.0911015720132671,0.672731411859629,0.410196237876277,0.208655961881747,0.911473481298903,0.648168308139281,0.548313125197987,0.370942896267597,0,0.521683752389556,0.879711092418572,0.238301117448743,0.338060912533928,0.187288284323341,0.541544257881316,0.669705200463794,0.929858077174879,0.289498124249692,4,8,FALSE
"57","1_55_4",0,0.282823216998923,0.190931165694255,0.205684839355693,0.139272529817383,0.190931165694255,0.596785392633269,0.213841039531031,0.377414201778658,0.604561631184099,0.624285146336188,0.0540562100151227,0.48373699520996,0.53594047655827,0.833322237767997,0.5588701721223,0.85025763310758,0.609020559709798,0.580887406729667,0.624992863544201,0.443681455824288,0.568737511343159,0.48640665837867,0.784651382769397,6,32,FALSE
"58","1_56_1",0,0.274996441829384,0.239646205503476,0.244393031964943,0.198885900914538,0.239646205503476,0.571858318735707,0,0.473209839999208,0.434336333472928,0.762229482766388,0.904167165203403,0.6485540561455,0.501840511363353,0.796540375469897,0.320229855504961,0.799517085812991,0,0.23487304687331,0.970789073159995,0.562586742441747,0.602667757190896,0.624278432299205,0.333248978183517,3,18,FALSE
"59","1_57_1",0,0.26076464425772,0.248170887419368,0.25659060025144,0.213147499867764,0.248170887419368,0.372232826232792,0.956906899337152,0.267403236103528,0.572319374592516,0.555872111505682,0.416077458352022,0.426698156990337,0.517290600474016,0.797690166373395,0.707908519589527,0.327326395292356,0.194203109689463,0.364109393094479,0.88722942976244,0.366676353129847,0.51461770167195,0.444322576023795,0,5,12,TRUE
"60","1_57_3",0,0.421808357306858,0.180418826110023,0.191371999331952,0.0932665229037478,0.180418826110023,0.6164833718029,0.55598767912561,0.429955161101926,0,0.964785581490002,0.576840957853655,0.689094381574118,1,0.707615290041685,0.22115847767322,0.935061950431001,0.260439636602158,0.190699054046353,0.14781762272274,0.94993987176354,0.500975503101548,0.946719964815662,0.489188755643475,2,22,FALSE
"61","1_58_2",0,0.268997425610504,0.227165115573002,0.25488664666249,0.205281588329088,0.227165115573002,0.666159521439054,0.488009944034092,0.162197116724174,0.521590128412159,0.746899853328505,0.704776373784315,0.852155115760842,0,0.985997634025137,0.61286926306075,0.864811125958332,0.310933305443303,0.680572955903331,0.903655745023136,0.527798746494728,0.430271922793931,0.907086482813425,0.275760321841098,1,6,FALSE
